Date,Region,Product,Quantity, UnitPrice ,StoreLocation,CustomerType,Discount,Salesperson, TotalPrice ,PaymentMethod,Promotion,Returned,OrderID,CustomerName, ShippingCost ,OrderDate,DeliveryDate,RegionManager,MonthName, GrossRevenue , TotalDiscount 
03/03/2023,Central,Chair,14, $312.79 ,Store A,Retail,0.05,Bob," $4,160.11 ",Online,,1,REG100021,Cust 4186, $46.83 ,03/03/2023,08/03/2023,Cameron,Mar," $4,113.28 ", $218.95 
18/02/2024,North,Laptop,14, $395.45 ,Store C,Retail,0,Carlos," $5,536.30 ",Cash,FREESHIP,1,REG100022,Cust 8137, $36.45 ,18/02/2024,22/02/2024,Ryan,Feb," $5,499.85 ", $-   
06/08/2023,Central,Laptop,12, $472.72 ,Store D,Retail,0.15,Diana," $4,821.74 ",Credit Card,,0,REG100023,Cust 4638, $27.97 ,06/08/2023,14/08/2023,Cameron,Aug," $4,793.77 ", $850.90 
23/05/2024,North,Desk,5, $288.01 ,Store A,Wholesale,0,Eva," $1,440.05 ",Credit Card,FREESHIP,0,REG100024,Cust 8538, $46.69 ,23/05/2024,30/05/2024,Ryan,May," $1,393.36 ", $-   
23/10/2023,East,Phone,13, $562.29 ,Store D,Retail,0,Diana," $7,309.77 ",Gift Card,SAVE10,0,REG100025,Cust 6322, $38.13 ,23/10/2023,28/10/2023,Eric,Oct," $7,271.64 ", $-   
16/06/2025,West,Phone,1, $101.73 ,Store D,Retail,0,Frank, $101.73 ,Debit Card,WINTER15,0,REG100026,Cust 2609, $11.59 ,16/06/2025,25/06/2025,Wendy,Jun, $90.14 , $-   
03/03/2023,North,Phone,4, $279.49 ,Store B,Retail,0,Diana," $1,117.96 ",Credit Card,FREESHIP,0,REG100027,Cust 6880, $24.78 ,03/03/2023,08/03/2023,Ryan,Mar," $1,093.18 ", $-   
18/11/2024,South,Laptop,1, $178.55 ,Store A,Retail,0.15,Carlos, $151.77 ,Debit Card,SAVE10,1,REG100028,Cust 1997, $7.61 ,18/11/2024,21/11/2024,Sophie,Nov, $144.16 , $26.78 
09/05/2023,Central,Tablet,1, $472.07 ,Store A,Wholesale,0.1,Carlos, $424.86 ,Online,FREESHIP,0,REG100029,Cust 7072, $33.17 ,09/05/2023,17/05/2023,Cameron,May, $391.69 , $47.21 
07/12/2024,North,Tablet,12, $306.29 ,Store D,Retail,0,Frank," $3,675.48 ",Debit Card,SAVE10,0,REG100030,Cust 7201, $37.38 ,07/12/2024,14/12/2024,Ryan,Dec," $3,638.10 ", $-   
13/02/2024,North,Phone,7, $434.77 ,Store C,Retail,0.15,Frank," $2,586.88 ",Online,SAVE10,0,REG100031,Cust 9923, $12.35 ,13/02/2024,15/02/2024,Ryan,Feb," $2,574.53 ", $456.51 
09/03/2025,South,Desk,6, $64.98 ,Store C,Retail,0,Carlos, $389.88 ,Debit Card,WINTER15,0,REG100032,Cust 2205, $21.25 ,09/03/2025,15/03/2025,Sophie,Mar, $368.63 , $-   
05/04/2023,Central,Desk,17, $476.49 ,Store D,Retail,0,Alice," $8,100.33 ",Gift Card,,0,REG100033,Cust 6403, $17.91 ,05/04/2023,11/04/2023,Cameron,Apr," $8,082.42 ", $-   
08/05/2025,North,Monitor,4, $559.72 ,Store D,Retail,0.15,Diana," $1,903.05 ",Online,SAVE10,0,REG100034,Cust 3953, $41.91 ,08/05/2025,12/05/2025,Ryan,May," $1,861.14 ", $335.83 
03/09/2023,North,Tablet,14, $82.14 ,Store C,Retail,0,Alice," $1,149.96 ",Credit Card,,0,REG100035,Cust 7902, $12.57 ,03/09/2023,11/09/2023,Ryan,Sep," $1,137.39 ", $-   
21/03/2025,Central,Chair,9, $343.21 ,Store A,Retail,0.05,Carlos," $2,934.45 ",Debit Card,FREESHIP,0,REG100036,Cust 9968, $40.29 ,21/03/2025,28/03/2025,Cameron,Mar," $2,894.16 ", $154.44 
20/06/2025,South,Chair,7, $301.01 ,Store B,Retail,0.15,Diana," $1,791.01 ",Cash,SAVE10,1,REG100037,Cust 3787, $34.97 ,20/06/2025,30/06/2025,Sophie,Jun," $1,756.04 ", $316.06 
15/02/2024,Central,Printer,14, $428.13 ,Store C,Retail,0.1,Bob," $5,394.44 ",Cash,,1,REG100038,Cust 2469, $24.77 ,15/02/2024,25/02/2024,Cameron,Feb," $5,369.67 ", $599.38 
09/06/2023,Central,Laptop,2, $503.28 ,Store D,Retail,0.15,Alice, $855.58 ,Gift Card,,0,REG100039,Cust 6468, $34.79 ,09/06/2023,17/06/2023,Cameron,Jun, $820.79 , $150.98 
10/08/2023,South,Printer,5, $470.32 ,Store A,Retail,0.1,Eva," $2,116.44 ",Debit Card,SAVE10,0,REG100040,Cust 5312, $17.77 ,10/08/2023,14/08/2023,Sophie,Aug," $2,098.67 ", $235.16 
16/06/2024,Central,Printer,20, $65.17 ,Store C,Wholesale,0.05,Eva," $1,238.23 ",Gift Card,FREESHIP,0,REG100041,Cust 1482, $21.72 ,16/06/2024,25/06/2024,Cameron,Jun," $1,216.51 ", $65.17 
23/07/2023,South,Laptop,12, $36.17 ,Store A,Retail,0,Eva, $434.04 ,Online,WINTER15,0,REG100042,Cust 7903, $34.85 ,23/07/2023,26/07/2023,Sophie,Jul, $399.19 , $-   
20/05/2023,Central,Printer,4, $459.31 ,Store D,Wholesale,0.15,Carlos," $1,561.65 ",Gift Card,WINTER15,1,REG100043,Cust 9605, $27.39 ,20/05/2023,27/05/2023,Cameron,May," $1,534.26 ", $275.59 
30/06/2023,South,Laptop,2, $416.06 ,Store D,Retail,0.05,Eva, $790.51 ,Debit Card,SAVE10,0,REG100044,Cust 3298, $11.62 ,30/06/2023,04/07/2023,Sophie,Jun, $778.89 , $41.61 
04/06/2024,South,Tablet,16, $302.58 ,Store D,Retail,0,Alice," $4,841.28 ",Online,WINTER15,1,REG100045,Cust 5533, $20.76 ,04/06/2024,14/06/2024,Sophie,Jun," $4,820.52 ", $-   
03/02/2025,West,Chair,11, $33.13 ,Store A,Retail,0.15,Frank, $309.77 ,Online,FREESHIP,0,REG100046,Cust 6362, $24.95 ,03/02/2025,05/02/2025,Wendy,Feb, $284.82 , $54.66 
09/01/2024,East,Tablet,8, $582.52 ,Store D,Retail,0.15,Frank," $3,961.14 ",Gift Card,WINTER15,0,REG100047,Cust 4826, $6.47 ,09/01/2024,13/01/2024,Eric,Jan," $3,954.67 ", $699.02 
14/03/2024,North,Desk,5, $165.15 ,Store A,Retail,0.1,Eva, $743.18 ,Gift Card,,0,REG100048,Cust 2171, $20.57 ,14/03/2024,16/03/2024,Ryan,Mar, $722.61 , $82.58 
06/09/2024,West,Monitor,14, $242.82 ,Store D,Wholesale,0.15,Alice," $2,889.56 ",Cash,WINTER15,1,REG100049,Cust 4005, $20.71 ,06/09/2024,13/09/2024,Wendy,Sep," $2,868.85 ", $509.92 
17/03/2023,East,Monitor,13, $65.99 ,Store A,Wholesale,0.1,Frank, $772.08 ,Cash,WINTER15,0,REG100050,Cust 7032, $12.87 ,17/03/2023,20/03/2023,Eric,Mar, $759.21 , $85.79 
17/01/2025,West,Chair,2, $251.69 ,Store C,Wholesale,0,Alice, $503.38 ,Debit Card,FREESHIP,0,REG100051,Cust 7167, $42.49 ,17/01/2025,24/01/2025,Wendy,Jan, $460.89 , $-   
12/09/2024,South,Laptop,1, $269.41 ,Store B,Wholesale,0.1,Eva, $242.47 ,Cash,WINTER15,1,REG100052,Cust 5702, $19.22 ,12/09/2024,18/09/2024,Sophie,Sep, $223.25 , $26.94 
05/01/2024,South,Monitor,2, $371.30 ,Store B,Wholesale,0.05,Bob, $705.47 ,Credit Card,SAVE10,0,REG100053,Cust 4944, $36.51 ,05/01/2024,15/01/2024,Sophie,Jan, $668.96 , $37.13 
19/04/2024,West,Tablet,11, $288.24 ,Store A,Wholesale,0.15,Diana," $2,695.04 ",Online,,0,REG100054,Cust 8149, $37.39 ,19/04/2024,25/04/2024,Wendy,Apr," $2,657.65 ", $475.60 
11/06/2025,Central,Tablet,11, $232.75 ,Store D,Wholesale,0.05,Eva," $2,432.24 ",Credit Card,SAVE10,0,REG100055,Cust 3638, $36.33 ,11/06/2025,21/06/2025,Cameron,Jun," $2,395.91 ", $128.01 
06/03/2025,East,Phone,17, $146.28 ,Store B,Retail,0.15,Carlos," $2,113.75 ",Cash,SAVE10,0,REG100056,Cust 9973, $7.84 ,06/03/2025,15/03/2025,Eric,Mar," $2,105.91 ", $373.01 
24/05/2023,East,Chair,5, $100.38 ,Store C,Retail,0.1,Eva, $451.71 ,Gift Card,WINTER15,1,REG100057,Cust 4214, $18.35 ,24/05/2023,26/05/2023,Eric,May, $433.36 , $50.19 
27/01/2023,South,Phone,11, $375.48 ,Store B,Retail,0.05,Bob," $3,923.77 ",Debit Card,WINTER15,0,REG100058,Cust 2647, $15.95 ,27/01/2023,03/02/2023,Sophie,Jan," $3,907.82 ", $206.51 
21/03/2024,South,Laptop,18, $316.89 ,Store B,Wholesale,0.05,Bob," $5,418.82 ",Cash,FREESHIP,0,REG100059,Cust 3552, $15.69 ,21/03/2024,27/03/2024,Sophie,Mar," $5,403.13 ", $285.20 
25/01/2025,West,Laptop,20, $295.06 ,Store D,Retail,0.15,Frank," $5,016.02 ",Online,SAVE10,1,REG100060,Cust 3354, $13.66 ,25/01/2025,31/01/2025,Wendy,Jan," $5,002.36 ", $885.18 
12/06/2023,Central,Phone,8, $301.68 ,Store D,Retail,0,Eva," $2,413.44 ",Cash,SAVE10,0,REG100061,Cust 3903, $36.54 ,12/06/2023,21/06/2023,Cameron,Jun," $2,376.90 ", $-   
22/03/2025,Central,Chair,3, $475.39 ,Store B,Retail,0.1,Alice," $1,283.55 ",Gift Card,,0,REG100062,Cust 5358, $15.62 ,22/03/2025,26/03/2025,Cameron,Mar," $1,267.93 ", $142.62 
24/02/2024,Central,Desk,16, $47.25 ,Store D,Retail,0.15,Bob, $642.60 ,Debit Card,FREESHIP,0,REG100063,Cust 8144, $29.50 ,24/02/2024,27/02/2024,Cameron,Feb, $613.10 , $113.40 
09/12/2023,South,Chair,15, $511.17 ,Store B,Wholesale,0,Frank," $7,667.55 ",Online,FREESHIP,0,REG100064,Cust 6747, $21.77 ,09/12/2023,12/12/2023,Sophie,Dec," $7,645.78 ", $-   
01/10/2023,Central,Monitor,3, $66.58 ,Store B,Retail,0.1,Frank, $179.77 ,Debit Card,FREESHIP,0,REG100065,Cust 8330, $22.43 ,01/10/2023,05/10/2023,Cameron,Oct, $157.34 , $19.97 
31/07/2023,West,Tablet,5, $490.52 ,Store D,Wholesale,0.05,Frank," $2,329.97 ",Online,,0,REG100066,Cust 7186, $12.24 ,31/07/2023,07/08/2023,Wendy,Jul," $2,317.73 ", $122.63 
24/12/2024,South,Chair,8, $405.96 ,Store A,Wholesale,0.05,Carlos," $3,085.30 ",Credit Card,WINTER15,0,REG100067,Cust 8287, $41.27 ,24/12/2024,31/12/2024,Sophie,Dec," $3,044.03 ", $162.38 
15/11/2024,North,Phone,1, $159.41 ,Store B,Retail,0.1,Bob, $143.47 ,Credit Card,FREESHIP,0,REG100068,Cust 3986, $35.14 ,15/11/2024,19/11/2024,Ryan,Nov, $108.33 , $15.94 
13/03/2025,West,Monitor,16, $38.49 ,Store C,Retail,0.15,Carlos, $523.46 ,Debit Card,SAVE10,0,REG100069,Cust 3213, $8.38 ,13/03/2025,22/03/2025,Wendy,Mar, $515.08 , $92.38 
03/03/2024,East,Tablet,15, $328.36 ,Store D,Retail,0.15,Alice," $4,186.59 ",Gift Card,WINTER15,0,REG100070,Cust 1907, $15.76 ,03/03/2024,12/03/2024,Eric,Mar," $4,170.83 ", $738.81 
11/02/2023,Central,Tablet,20, $548.01 ,Store A,Wholesale,0.1,Eva," $9,864.18 ",Credit Card,WINTER15,1,REG100071,Cust 4639, $5.89 ,11/02/2023,14/02/2023,Cameron,Feb," $9,858.29 "," $1,096.02 "
26/10/2023,South,Desk,13, $484.45 ,Store B,Wholesale,0.05,Carlos," $5,982.96 ",Gift Card,WINTER15,1,REG100072,Cust 4153, $6.57 ,26/10/2023,05/11/2023,Sophie,Oct," $5,976.39 ", $314.89 
21/10/2023,South,Monitor,13, $195.84 ,Store A,Wholesale,0.05,Alice," $2,418.62 ",Credit Card,,0,REG100073,Cust 7096, $33.52 ,21/10/2023,28/10/2023,Sophie,Oct," $2,385.10 ", $127.30 
14/01/2024,Central,Tablet,19, $29.94 ,Store D,Retail,0.15,Diana, $483.53 ,Debit Card,FREESHIP,0,REG100074,Cust 3806, $33.59 ,14/01/2024,20/01/2024,Cameron,Jan, $449.94 , $85.33 
27/07/2023,Central,Desk,10, $553.91 ,Store D,Wholesale,0.1,Eva," $4,985.19 ",Online,,0,REG100075,Cust 9345, $31.30 ,27/07/2023,31/07/2023,Cameron,Jul," $4,953.89 ", $553.91 
23/10/2024,South,Phone,14, $445.52 ,Store B,Retail,0.1,Bob," $5,613.55 ",Online,SAVE10,0,REG100076,Cust 4456, $14.41 ,23/10/2024,25/10/2024,Sophie,Oct," $5,599.14 ", $623.73 
26/09/2023,South,Chair,5, $551.58 ,Store B,Retail,0.15,Alice," $2,344.22 ",Online,WINTER15,1,REG100077,Cust 1089, $7.87 ,26/09/2023,01/10/2023,Sophie,Sep," $2,336.35 ", $413.69 
16/12/2023,East,Phone,13, $241.40 ,Store D,Retail,0,Carlos," $3,138.20 ",Gift Card,SAVE10,0,REG100078,Cust 7230, $49.05 ,16/12/2023,20/12/2023,Eric,Dec," $3,089.15 ", $-   
02/01/2024,Central,Printer,19, $351.93 ,Store A,Wholesale,0,Alice," $6,686.67 ",Credit Card,,0,REG100079,Cust 6597, $39.98 ,02/01/2024,05/01/2024,Cameron,Jan," $6,646.69 ", $-   
16/02/2024,North,Phone,4, $83.75 ,Store A,Retail,0.05,Alice, $318.25 ,Debit Card,SAVE10,1,REG100080,Cust 4108, $38.82 ,16/02/2024,25/02/2024,Ryan,Feb, $279.43 , $16.75 
03/05/2024,East,Monitor,5, $416.95 ,Store A,Wholesale,0.15,Frank," $1,772.04 ",Online,,1,REG100081,Cust 2883, $24.03 ,03/05/2024,12/05/2024,Eric,May," $1,748.01 ", $312.71 
27/05/2023,West,Monitor,18, $142.43 ,Store C,Retail,0.05,Bob," $2,435.55 ",Credit Card,SAVE10,1,REG100082,Cust 5018, $12.38 ,27/05/2023,02/06/2023,Wendy,May," $2,423.17 ", $128.19 
05/01/2023,East,Desk,12, $582.52 ,Store A,Wholesale,0,Bob," $6,990.24 ",Credit Card,FREESHIP,0,REG100083,Cust 1231, $41.16 ,05/01/2023,11/01/2023,Eric,Jan," $6,949.08 ", $-   
21/05/2025,East,Chair,20, $129.56 ,Store A,Retail,0.15,Diana," $2,202.52 ",Online,WINTER15,0,REG100084,Cust 2209, $40.21 ,21/05/2025,23/05/2025,Eric,May," $2,162.31 ", $388.68 
21/07/2023,Central,Tablet,17, $431.82 ,Store B,Retail,0,Eva," $7,340.94 ",Gift Card,FREESHIP,1,REG100085,Cust 6684, $37.75 ,21/07/2023,25/07/2023,Cameron,Jul," $7,303.19 ", $-   
25/05/2025,East,Laptop,15, $15.85 ,Store C,Retail,0,Bob, $237.75 ,Debit Card,WINTER15,0,REG100086,Cust 5289, $23.49 ,25/05/2025,03/06/2025,Eric,May, $214.26 , $-   
16/11/2024,South,Tablet,20, $548.34 ,Store B,Retail,0.1,Bob," $9,870.12 ",Gift Card,WINTER15,0,REG100087,Cust 9159, $33.47 ,16/11/2024,22/11/2024,Sophie,Nov," $9,836.65 "," $1,096.68 "
19/11/2023,North,Laptop,16, $525.83 ,Store C,Wholesale,0.05,Frank," $7,992.62 ",Online,,0,REG100088,Cust 4844, $36.47 ,19/11/2023,25/11/2023,Ryan,Nov," $7,956.15 ", $420.66 
12/01/2025,Central,Laptop,15, $411.38 ,Store A,Wholesale,0.05,Bob," $5,862.17 ",Online,SAVE10,0,REG100089,Cust 3273, $48.51 ,12/01/2025,21/01/2025,Cameron,Jan," $5,813.66 ", $308.54 
29/03/2023,North,Monitor,19, $559.95 ,Store A,Wholesale,0.1,Carlos," $9,575.15 ",Credit Card,WINTER15,0,REG100090,Cust 8160, $18.30 ,29/03/2023,03/04/2023,Ryan,Mar," $9,556.85 "," $1,063.91 "
01/03/2025,North,Desk,8, $179.90 ,Store C,Retail,0.05,Carlos," $1,367.24 ",Online,SAVE10,0,REG100091,Cust 4439, $14.80 ,01/03/2025,05/03/2025,Ryan,Mar," $1,352.44 ", $71.96 
18/10/2023,North,Chair,12, $494.15 ,Store B,Wholesale,0.15,Diana," $5,040.33 ",Online,SAVE10,1,REG100092,Cust 1127, $18.05 ,18/10/2023,20/10/2023,Ryan,Oct," $5,022.28 ", $889.47 
13/04/2025,East,Desk,10, $462.99 ,Store C,Wholesale,0,Bob," $4,629.90 ",Credit Card,WINTER15,0,REG100093,Cust 4696, $5.01 ,13/04/2025,15/04/2025,Eric,Apr," $4,624.89 ", $-   
13/05/2025,Central,Laptop,7, $460.24 ,Store A,Retail,0.05,Alice," $3,060.60 ",Cash,SAVE10,1,REG100094,Cust 3014, $11.54 ,13/05/2025,23/05/2025,Cameron,May," $3,049.06 ", $161.08 
21/04/2024,West,Printer,17, $309.52 ,Store B,Wholesale,0.05,Eva," $4,998.75 ",Online,FREESHIP,0,REG100095,Cust 2539, $6.11 ,21/04/2024,27/04/2024,Wendy,Apr," $4,992.64 ", $263.09 
31/01/2025,Central,Monitor,1, $323.83 ,Store B,Wholesale,0.05,Eva, $307.64 ,Credit Card,WINTER15,0,REG100096,Cust 3916, $27.48 ,31/01/2025,08/02/2025,Cameron,Jan, $280.16 , $16.19 
14/03/2025,Central,Chair,10, $503.07 ,Store C,Retail,0,Bob," $5,030.70 ",Credit Card,FREESHIP,0,REG100097,Cust 6329, $44.61 ,14/03/2025,19/03/2025,Cameron,Mar," $4,986.09 ", $-   
26/05/2024,West,Laptop,20, $491.68 ,Store D,Wholesale,0.15,Alice," $8,358.56 ",Online,SAVE10,1,REG100098,Cust 4384, $43.46 ,26/05/2024,29/05/2024,Wendy,May," $8,315.10 "," $1,475.04 "
22/07/2023,North,Phone,17, $468.45 ,Store A,Retail,0.05,Carlos," $7,565.47 ",Credit Card,FREESHIP,0,REG100099,Cust 7756, $17.88 ,22/07/2023,26/07/2023,Ryan,Jul," $7,547.59 ", $398.18 
21/03/2024,North,Laptop,11, $401.76 ,Store D,Retail,0.15,Frank," $3,756.46 ",Gift Card,SAVE10,0,REG100100,Cust 6086, $48.03 ,21/03/2024,30/03/2024,Ryan,Mar," $3,708.43 ", $662.90 
05/04/2023,West,Printer,3, $221.00 ,Store B,Wholesale,0,Frank, $663.00 ,Cash,FREESHIP,0,REG100101,Cust 3845, $32.31 ,05/04/2023,08/04/2023,Wendy,Apr, $630.69 , $-   
26/08/2024,East,Monitor,6, $188.45 ,Store C,Wholesale,0.05,Alice," $1,074.17 ",Gift Card,,0,REG100102,Cust 9996, $6.77 ,26/08/2024,01/09/2024,Eric,Aug," $1,067.40 ", $56.54 
07/07/2024,North,Desk,3, $566.20 ,Store D,Retail,0,Bob," $1,698.60 ",Gift Card,FREESHIP,1,REG100103,Cust 1711, $28.97 ,07/07/2024,17/07/2024,Ryan,Jul," $1,669.63 ", $-   
29/09/2023,East,Monitor,14, $167.09 ,Store D,Retail,0.05,Alice," $2,222.30 ",Gift Card,SAVE10,1,REG100104,Cust 4522, $47.05 ,29/09/2023,08/10/2023,Eric,Sep," $2,175.25 ", $116.96 
04/10/2023,West,Monitor,16, $36.16 ,Store C,Wholesale,0.1,Carlos, $520.70 ,Debit Card,FREESHIP,0,REG100105,Cust 4233, $26.64 ,04/10/2023,11/10/2023,Wendy,Oct, $494.06 , $57.86 
09/06/2025,Central,Printer,2, $73.94 ,Store B,Wholesale,0.05,Carlos, $140.49 ,Debit Card,SAVE10,0,REG100106,Cust 4121, $28.05 ,09/06/2025,16/06/2025,Cameron,Jun, $112.44 , $7.39 
12/06/2025,East,Printer,16, $459.49 ,Store A,Wholesale,0.1,Eva," $6,616.66 ",Online,SAVE10,0,REG100107,Cust 9092, $26.99 ,12/06/2025,14/06/2025,Eric,Jun," $6,589.67 ", $735.18 
29/06/2024,East,Chair,3, $168.05 ,Store A,Retail,0,Carlos, $504.15 ,Cash,,1,REG100108,Cust 9090, $21.08 ,29/06/2024,06/07/2024,Eric,Jun, $483.07 , $-   
23/03/2024,North,Printer,14, $37.54 ,Store B,Retail,0.15,Alice, $446.73 ,Credit Card,,1,REG100109,Cust 1983, $49.60 ,23/03/2024,02/04/2024,Ryan,Mar, $397.13 , $78.83 
14/07/2024,South,Tablet,4, $151.16 ,Store B,Wholesale,0,Alice, $604.64 ,Gift Card,SAVE10,1,REG100110,Cust 8834, $41.40 ,14/07/2024,21/07/2024,Sophie,Jul, $563.24 , $-   
15/03/2024,South,Tablet,17, $78.58 ,Store A,Wholesale,0.1,Bob," $1,202.27 ",Gift Card,WINTER15,0,REG100111,Cust 9780, $8.02 ,15/03/2024,25/03/2024,Sophie,Mar," $1,194.25 ", $133.59 
19/04/2025,Central,Chair,15, $37.33 ,Store B,Retail,0.05,Carlos, $531.95 ,Cash,,1,REG100112,Cust 1293, $43.69 ,19/04/2025,24/04/2025,Cameron,Apr, $488.26 , $28.00 
15/02/2024,West,Tablet,18, $537.02 ,Store A,Wholesale,0.15,Carlos," $8,216.41 ",Debit Card,SAVE10,0,REG100113,Cust 3173, $23.94 ,15/02/2024,20/02/2024,Wendy,Feb," $8,192.47 "," $1,449.95 "
25/01/2024,East,Desk,5, $215.60 ,Store C,Wholesale,0,Frank," $1,078.00 ",Online,WINTER15,0,REG100114,Cust 8641, $28.36 ,25/01/2024,04/02/2024,Eric,Jan," $1,049.64 ", $-   
15/04/2025,Central,Laptop,18, $209.50 ,Store D,Wholesale,0,Carlos," $3,771.00 ",Credit Card,FREESHIP,0,REG100115,Cust 7656, $38.23 ,15/04/2025,23/04/2025,Cameron,Apr," $3,732.77 ", $-   
15/04/2025,Central,Chair,8, $348.98 ,Store A,Retail,0.1,Frank," $2,512.66 ",Online,FREESHIP,0,REG100116,Cust 5523, $19.17 ,15/04/2025,20/04/2025,Cameron,Apr," $2,493.49 ", $279.18 
11/08/2024,West,Printer,2, $289.14 ,Store C,Retail,0.05,Diana, $549.37 ,Online,SAVE10,0,REG100117,Cust 2015, $5.13 ,11/08/2024,13/08/2024,Wendy,Aug, $544.24 , $28.91 
01/12/2023,South,Desk,5, $396.93 ,Store B,Wholesale,0,Diana," $1,984.65 ",Credit Card,FREESHIP,0,REG100118,Cust 6895, $48.63 ,01/12/2023,08/12/2023,Sophie,Dec," $1,936.02 ", $-   
